freq,eps.real,eps.imag,sig.real,sig.imag
4.5263788968824936e10,-114646.45467471275,16323975.334478969,41105148.471385695,288691.9729850809
4.556354916067146e10,-114646.37952827122,16216570.130643629,41105121.52874101,290603.64987761085
4.586330935251798e10,-114646.30388591313,16110568.84671328,41105094.40829276,292515.32299854857
4.616306954436451e10,-114646.22774764028,16005944.133599132,41105067.11004164,294426.9923230889
4.646282973621103e10,-114646.15111345486,15902669.34799535,41105039.63398837,296338.65782642784
4.6762589928057556e10,-114646.07398335866,15800718.529757762,41105011.98013365,298250.31948376045
4.7062350119904076e10,-114645.99635735375,15700066.380147172,41104984.14847822,300161.97727028275
4.73621103117506e10,-114645.91823544227,15600688.240898786,41104956.13902279,302073.6311611908
4.766187050359712e10,-114645.83961762603,15502560.074081507,41104927.951768056,303985.28113168007
4.796163069544364e10,-114645.76050390722,15405658.44271253,41104899.5867148,305896.9271569474
4.826139088729017e10,-114645.6808942878,15309960.492094334,41104871.04386372,307808.56921218877
4.856115107913669e10,-114645.60078876994,15215443.931842921,41104842.323215574,309720.2072726011
4.8860911270983215e10,-114645.5201873556,15122087.018577581,41104813.42477112,311631.84131338104
4.9160671462829735e10,-114645.43909004702,15029868.539243966,41104784.34853108,313543.47130972554
4.946043165467626e10,-114645.35749684618,14938767.795043591,41104755.094496235,315455.0972368316
4.976019184652278e10,-114645.27540775522,14848764.585944202,41104725.66266733,317366.7190698965
5.005995203836931e10,-114645.19282277636,14759839.195746657,41104696.05304513,319278.336784118
5.035971223021582e10,-114645.1097419116,14671972.377685118,41104666.265630394,321189.9503546932
5.065947242206235e10,-114645.02616516325,14585145.340538519,41104636.30042393,323101.5597568207
5.095923261390887e10,-114644.94209253331,14499339.735232156,41104606.15742646,325013.16496569756
5.1258992805755394e10,-114644.8575240241,14414537.641909463,41104575.83663882,326924.7659565227
5.155875299760191e10,-114644.77245963775,14330721.557454722,41104545.33806177,328836.3627044941
5.185851318944844e10,-114644.68689937654,14247874.383448526,41104514.661696106,330747.9551848106
5.215827338129496e10,-114644.60084324254,14165979.41453859,41104483.807542615,332659.5433726705
