# PNPA pump and ZnTe probe simultaneously chopped.
# 18-20 Jan 2023
Delay (ps),Scan type,Path
15,Pump + probe,raw_data/19.01.23/01h29m52s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_5.00-10.91_HWP=40.00_Del=158.68_Dum=90.00.txt
15,Pump,raw_data/19.01.23/01h18m55s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_5.01-10.91_HWP=40.00_Del=158.68_Dum=0.00.txt
13,Pump + probe,raw_data/19.01.23/01h07m58s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_4.99-10.91_HWP=40.00_Del=158.98_Dum=90.00.txt
13,Pump,raw_data/19.01.23/00h57m00s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_5.01-10.91_HWP=40.00_Del=158.98_Dum=0.00.txt
11,Pump + probe,raw_data/19.01.23/00h46m04s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_4.98-10.91_HWP=40.00_Del=159.28_Dum=90.00.txt
11,Pump,raw_data/19.01.23/00h35m07s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_4.99-10.92_HWP=40.00_Del=159.28_Dum=0.00.txt
9,Pump + probe,raw_data/19.01.23/00h24m10s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_5.02-10.91_HWP=40.00_Del=159.58_Dum=90.00.txt
9,Pump,raw_data/19.01.23/00h13m14s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_5.01-10.92_HWP=40.00_Del=159.58_Dum=0.00.txt
7,Pump + probe,raw_data/19.01.23/00h02m17s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_4.99-10.91_HWP=40.00_Del=159.88_Dum=90.00.txt
7,Pump,raw_data/18.01.23/23h51m22s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_5.01-10.91_HWP=40.00_Del=159.88_Dum=0.00.txt
5,Pump + probe,raw_data/18.01.23/23h40m27s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_5.01-10.92_HWP=40.00_Del=160.18_Dum=90.00.txt
5,Pump,raw_data/18.01.23/23h29m31s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_4.99-10.92_HWP=40.00_Del=160.18_Dum=0.00.txt
3,Pump + probe,raw_data/18.01.23/23h18m35s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_4.99-10.91_HWP=40.00_Del=160.48_Dum=90.00.txt
3,Pump,raw_data/18.01.23/23h07m39s_ZnTe-PNPA delay dependence (3-50 ps, steps of 2)_5.02-10.91_HWP=40.00_Del=160.48_Dum=0.00.txt
