
HWP,Set temperature,Get temperature,Path
# 40.0,175.00,175.42,raw_data/25.02.23/16h19m12s_xT xHWP 20 ps_175.00-175.42_Tem=175.00_HWP=40.00_Del=160.72.txt
# 45.0,175.00,175.42,raw_data/25.02.23/16h33m19s_xT xHWP 20 ps_175.00-175.42_Tem=175.00_HWP=45.00_Del=160.72.txt
# 50.0,175.00,175.42,raw_data/25.02.23/16h47m24s_xT xHWP 20 ps_175.00-175.42_Tem=175.00_HWP=50.00_Del=160.72.txt
# 55.0,175.00,175.42,raw_data/25.02.23/17h01m34s_xT xHWP 20 ps_175.00-175.42_Tem=175.00_HWP=55.00_Del=160.72.txt
# 57.5,175.00,175.48,raw_data/26.02.23/02h46m40s_xT xHWP 20 ps_175.00-175.48_Tem=175.00_HWP=57.50_Del=160.72.txt
# 60.0,175.00,175.42,raw_data/25.02.23/17h15m41s_xT xHWP 20 ps_175.00-175.42_Tem=175.00_HWP=60.00_Del=160.72.txt
# 65.0,175.00,175.42,raw_data/25.02.23/17h29m49s_xT xHWP 20 ps_175.00-175.42_Tem=175.00_HWP=65.00_Del=160.72.txt
# # 200 K
# 25.0,200.00,200.32,raw_data/25.02.23/12h15m19s_xT xHWP 20 ps_200.00-200.32_Tem=200.00_HWP=25.00_Del=160.72.txt
# 30.0,200.00,200.32,raw_data/25.02.23/12h29m30s_xT xHWP 20 ps_200.00-200.32_Tem=200.00_HWP=30.00_Del=160.72.txt
# 35.0,200.00,200.31,raw_data/25.02.23/12h43m34s_xT xHWP 20 ps_200.00-200.31_Tem=200.00_HWP=35.00_Del=160.72.txt
# 40.0,200.00,200.31,raw_data/25.02.23/12h57m45s_xT xHWP 20 ps_200.00-200.31_Tem=200.00_HWP=40.00_Del=160.72.txt
# 45.0,200.00,200.31,raw_data/25.02.23/13h12m02s_xT xHWP 20 ps_200.00-200.31_Tem=200.00_HWP=45.00_Del=160.72.txt
# 50.0,200.00,200.31,raw_data/25.02.23/13h26m08s_xT xHWP 20 ps_200.00-200.31_Tem=200.00_HWP=50.00_Del=160.72.txt
# 55.0,200.00,200.31,raw_data/25.02.23/13h40m15s_xT xHWP 20 ps_200.00-200.31_Tem=200.00_HWP=55.00_Del=160.72.txt
# #57.5,200.00,200.33,raw_data/26.02.23/03h25m19s_xT xHWP 20 ps_200.00-200.33_Tem=200.00_HWP=57.50_Del=160.72.txt
# 60.0,200.00,200.31,raw_data/25.02.23/13h54m23s_xT xHWP 20 ps_200.00-200.31_Tem=200.00_HWP=60.00_Del=160.72.txt
# 65.0,200.00,200.31,raw_data/25.02.23/14h08m28s_xT xHWP 20 ps_200.00-200.31_Tem=200.00_HWP=65.00_Del=160.72.txt
