temperature,direction,R,data_type,rho,sigma
30.093,-1,7421.3,raw,0.0003699960475259637,2702.7315742604715
30.117,-1,7415.2,raw,0.0003696919261604471,2704.9549347366537
30.148,-1,7404.21,raw,0.0003691440091429016,2708.969874174184
30.171,-1,7396.89,raw,0.00036877906350428165,2711.6506845524586
30.204,-1,7389.56,raw,0.00036841361930604617,2714.340479278771
30.227,-1,7382.85,raw,0.0003680790858039779,2716.807443204079
30.25,-1,7373.7,raw,0.000367622903755703,2720.178720596069
30.272,-1,7366.37,raw,0.0003672574595574674,2722.8854689703667
30.306,-1,7356.0,raw,0.0003667404532360892,2726.7240119710764
30.325,-1,7351.72,raw,0.00036652706972061194,2728.311447125195
30.358,-1,7341.35,raw,0.0003660100633992338,2732.165314561931
30.386,-1,7332.8,raw,0.00036558379492789494,2735.3510026264503
30.412,-1,7323.65,raw,0.00036512761287961997,2738.768487306089
30.434,-1,7318.76,raw,0.0003648838172275912,2740.5983844338703
30.467,-1,7309.61,raw,0.00036442763517931617,2744.0290018289948
30.485,-1,7302.89,raw,0.00036409260311763233,2746.554012460716
30.519,-1,7291.91,raw,0.00036354518465970246,2750.689713951384
30.544,-1,7285.19,raw,0.00036321015259801857,2753.2270032846413
30.563,-1,7280.92,raw,0.00036299726764215697,2754.8416727637764
30.589,-1,7272.38,raw,0.0003625714977304337,2758.0767000705737
30.621,-1,7262.61,raw,0.0003620844049859915,2761.786992838558
30.646,-1,7254.68,raw,0.00036168904721082,2764.8058676687647
30.676,-1,7244.3,raw,0.00036117154232982615,2768.7674215671955
30.717,-1,7232.7,raw,0.000360593213175729,2773.208045689609
30.742,-1,7225.38,raw,0.00036022826753710904,2776.017570295159
30.775,-1,7216.22,raw,0.00035977158692921855,2779.541343259939
30.791,-1,7210.12,raw,0.000359467465563702,2781.892927171702
30.835,-1,7196.08,raw,0.00035876748786339813,2787.32057343154
30.869,-1,7184.49,raw,0.0003581896572689166,2791.817071505317
30.887,-1,7182.04,raw,0.0003580675101630944,2792.7694404457834
30.92,-1,7171.06,raw,0.0003575200917051645,2797.045601634798
30.949,-1,7161.29,raw,0.0003570329989607223,2800.861553164197
30.984,-1,7150.31,raw,0.00035648558050279246,2805.162549883744
31.004,-1,7144.81,raw,0.0003562113727142119,2807.3219346713536
31.027,-1,7139.93,raw,0.0003559680756217986,2809.2406833203177
31.043,-1,7133.22,raw,0.00035563354211973035,2811.883249368341
31.078,-1,7122.84,raw,0.0003551160372387365,2815.9809615348986
31.097,-1,7118.57,raw,0.00035490315228287484,2817.6700983567257
31.128,-1,7110.02,raw,0.00035447688381153605,2821.058426285613
31.152,-1,7101.48,raw,0.0003540511138998128,2824.450935869598
31.182,-1,7092.32,raw,0.00035359443329192224,2828.0988212685324
31.206,-1,7086.22,raw,0.0003532903119264057,2830.533321299541
31.241,-1,7074.62,raw,0.0003527119827723085,2835.174444996231
31.261,-1,7069.74,raw,0.00035246868567989523,2837.13146905816
31.286,-1,7063.03,raw,0.00035213415217782697,2839.8267927588067
31.305,-1,7058.75,raw,0.0003519207686623498,2841.5486923406033
31.339,-1,7049.6,raw,0.00035146458661407487,2845.2368690506178
31.364,-1,7041.05,raw,0.00035103831814273603,2848.691861591557
31.398,-1,7033.12,raw,0.0003506429603675644,2851.9038253377216
