HWP,Delay,t,Path
45.0,148.38,100.9838,raw_data/04.02.23/23h43m36s_ZnTe F21059 transmission xPP xHWP_HWP=45.00_Del=148.38.txt
45.0,148.38,100.9838,raw_data/05.02.23/13h48m50s_ZnTe F21059 transmission xPP xHWP_HWP=45.00_Del=148.38.txt
45.0,152.28,74.9708,raw_data/06.02.23/14h41m53s_ZnTe F21059 transmission xPP xHWP_2.98-4.69_HWP=45.00_Del=152.28.txt
45.0,155.38,54.2938,raw_data/04.02.23/06h35m22s_ZnTe F21059 transmission xPP xHWP_HWP=45.00_Del=155.38.txt
45.0,157.95,37.1519,raw_data/05.02.23/13h16m43s_ZnTe F21059 transmission xPP xHWP_HWP=45.00_Del=157.95.txt
45.0,157.96,37.0852,raw_data/04.02.23/23h18m11s_ZnTe F21059 transmission xPP xHWP_HWP=45.00_Del=157.96.txt
45.0,160.53,19.9433,raw_data/04.02.23/06h08m39s_ZnTe F21059 transmission xPP xHWP_HWP=45.00_Del=160.53.txt
45.0,161.27,15.0075,raw_data/05.02.23/11h22m10s_ZnTe F21059 transmission xPP xHWP_Del=161.27_HWP=45.00.txt
45.0,162.02,10.005,raw_data/05.02.23/03h35m53s_ZnTe F21059 transmission xPP xHWP_Del=162.02_HWP=45.00.txt
45.0,162.76,5.0692,raw_data/04.02.23/22h52m46s_ZnTe F21059 transmission xPP xHWP_HWP=45.00_Del=162.76.txt
45.0,162.77,5.0025,raw_data/05.02.23/07h20m48s_ZnTe F21059 transmission xPP xHWP_Del=162.77_HWP=45.00.txt
45.0,165.0,-9.8716,raw_data/04.02.23/05h41m57s_ZnTe F21059 transmission xPP xHWP_HWP=45.00_Del=165.00.txt
45.0,171.0,-49.8916,raw_data/06.02.23/09h23m33s_ZnTe F21059 transmission xPP xHWP_2.98-4.69_HWP=45.00_Del=171.00.txt
50.0,0.0,1090.6784,raw_data/03.02.23/20h49m58s_ZnTe F21059 transmission xPP xHWP_0.00-0.00_HWP=50.00_Del=0.00.txt
50.0,51.69,745.9061,raw_data/04.02.23/18h02m21s_ZnTe F21059 transmission xPP xHWP_HWP=50.00_Del=51.69.txt
50.0,103.37,401.2005,raw_data/03.02.23/20h21m13s_ZnTe F21059 transmission xPP xHWP_0.00-0.00_HWP=50.00_Del=103.37.txt
50.0,122.38,274.4038,raw_data/04.02.23/17h36m55s_ZnTe F21059 transmission xPP xHWP_HWP=50.00_Del=122.38.txt
50.0,141.39,147.6071,raw_data/03.02.23/19h52m31s_ZnTe F21059 transmission xPP xHWP_0.00-0.00_HWP=50.00_Del=141.39.txt
50.0,148.38,100.9838,raw_data/04.02.23/17h11m30s_ZnTe F21059 transmission xPP xHWP_HWP=50.00_Del=148.38.txt
50.0,155.38,54.2938,raw_data/03.02.23/19h23m50s_ZnTe F21059 transmission xPP xHWP_0.00-0.00_HWP=50.00_Del=155.38.txt
50.0,157.95,37.1519,raw_data/06.02.23/03h57m44s_ZnTe F21059 transmission xPP xHWP_2.97-4.68_HWP=50.00_Del=157.95.txt
50.0,157.96,37.0852,raw_data/04.02.23/16h46m05s_ZnTe F21059 transmission xPP xHWP_HWP=50.00_Del=157.96.txt
50.0,160.53,19.9433,raw_data/03.02.23/18h55m09s_ZnTe F21059 transmission xPP xHWP_0.00-0.00_HWP=50.00_Del=160.53.txt
50.0,161.27,15.0075,raw_data/05.02.23/12h06m21s_ZnTe F21059 transmission xPP xHWP_Del=161.27_HWP=50.00.txt
50.0,162.02,10.005,raw_data/05.02.23/04h08m01s_ZnTe F21059 transmission xPP xHWP_Del=162.02_HWP=50.00.txt
50.0,162.76,5.0692,raw_data/04.02.23/16h20m41s_ZnTe F21059 transmission xPP xHWP_HWP=50.00_Del=162.76.txt
50.0,162.77,5.0025,raw_data/05.02.23/07h52m56s_ZnTe F21059 transmission xPP xHWP_Del=162.77_HWP=50.00.txt
50.0,165.0,-9.8716,raw_data/03.02.23/18h26m27s_ZnTe F21059 transmission xPP xHWP_0.00-0.00_HWP=50.00_Del=165.00.txt
50.0,171.0,-49.8916,raw_data/06.02.23/04h45m00s_ZnTe F21059 transmission xPP xHWP_2.98-4.68_HWP=50.00_Del=171.00.txt
