# Flat substrate index of 4.8 without absorption.
# Homogeneous conductivity across sample.
cond,freq,param,value
100.0,2.46,s11.real,-0.0978
100.0,2.48,s11.real,-0.0521
100.0,2.5,s11.real,-0.0059
100.0,2.52,s11.real,0.0406
100.0,2.54,s11.real,0.0873
100.0,2.56,s11.real,0.1341
100.0,2.58,s11.real,0.1806
100.0,2.6,s11.real,0.2266
100.0,2.62,s11.real,0.272
100.0,2.64,s11.real,0.3163
100.0,2.66,s11.real,0.3594
100.0,2.68,s11.real,0.4011
100.0,2.7,s11.real,0.4408
100.0,2.72,s11.real,0.4788
100.0,2.74,s11.real,0.5145
100.0,2.76,s11.real,0.548
100.0,2.78,s11.real,0.5788
100.0,2.8,s11.real,0.6072
100.0,2.82,s11.real,0.6328
100.0,2.84,s11.real,0.6557
100.0,2.86,s11.real,0.6757
100.0,2.88,s11.real,0.6928
100.0,2.9,s11.real,0.707
100.0,2.92,s11.real,0.7183
100.0,2.94,s11.real,0.7267
100.0,2.96,s11.real,0.7321
100.0,2.98,s11.real,0.7346
100.0,3.0,s11.real,0.7341
1000.0,0.5,s11.real,-0.0297
1000.0,0.52,s11.real,0.0102
1000.0,0.54,s11.real,0.0499
1000.0,0.56,s11.real,0.0894
1000.0,0.58,s11.real,0.1286
1000.0,0.6,s11.real,0.1674
1000.0,0.62,s11.real,0.2055
1000.0,0.64,s11.real,0.2429
1000.0,0.66,s11.real,0.2795
1000.0,0.68,s11.real,0.3211
1000.0,0.7,s11.real,0.3497
1000.0,0.72,s11.real,0.3831
1000.0,0.74,s11.real,0.4152
1000.0,0.76,s11.real,0.446
1000.0,0.78,s11.real,0.4755
1000.0,0.8,s11.real,0.5037
1000.0,0.82,s11.real,0.5305
1000.0,0.84,s11.real,0.5561
1000.0,0.86,s11.real,0.5809
1000.0,0.88,s11.real,0.6049
1000.0,0.9,s11.real,0.6289
1000.0,0.92,s11.real,0.6539
1000.0,0.94,s11.real,0.6818
1000.0,0.96,s11.real,0.7156
1000.0,0.98,s11.real,0.7589
1000.0,1.0,s11.real,0.8119
1000.0,1.02,s11.real,0.8508
1000.0,1.04,s11.real,0.8293
1000.0,1.06,s11.real,0.7541
1000.0,1.08,s11.real,0.6938
1000.0,1.1,s11.real,0.652
1000.0,1.12,s11.real,0.6233
1000.0,1.14,s11.real,0.6008
1000.0,1.16,s11.real,0.5805
1000.0,1.18,s11.real,0.5605
1000.0,1.2,s11.real,0.5399
1000.0,1.22,s11.real,0.5182
1000.0,1.24,s11.real,0.495
1000.0,1.26,s11.real,0.4704
1000.0,1.28,s11.real,0.4441
1000.0,1.3,s11.real,0.4163
1000.0,1.32,s11.real,0.3869
1000.0,1.34,s11.real,0.356
1000.0,1.36,s11.real,0.3236
1000.0,1.38,s11.real,0.2897
1000.0,1.4,s11.real,0.2544
1000.0,1.42,s11.real,0.2178
1000.0,1.44,s11.real,0.1798
1000.0,1.46,s11.real,0.1407
1000.0,1.48,s11.real,0.1006
1000.0,1.5,s11.real,0.0595
1000.0,1.52,s11.real,0.0177
1000.0,1.54,s11.real,-0.0246
1000.0,1.56,s11.real,-0.0674
1000.0,1.58,s11.real,-0.1104
1000.0,1.6,s11.real,-0.1535
1000.0,1.62,s11.real,-0.1966
1000.0,1.64,s11.real,-0.2394
1000.0,1.66,s11.real,-0.282
1000.0,1.68,s11.real,-0.3242
1000.0,1.7,s11.real,-0.3658
1000.0,1.72,s11.real,-0.4068
1000.0,1.74,s11.real,-0.4471
1000.0,1.76,s11.real,-0.4864
1000.0,1.78,s11.real,-0.5245
1000.0,1.8,s11.real,-0.5613
1000.0,1.82,s11.real,-0.5962
1000.0,1.84,s11.real,-0.6291
1000.0,1.86,s11.real,-0.6593
1000.0,1.88,s11.real,-0.6862
1000.0,1.9,s11.real,-0.7097
1000.0,1.92,s11.real,-0.729
1000.0,1.94,s11.real,-0.7441
1000.0,1.96,s11.real,-0.7547
1000.0,1.98,s11.real,-0.7608
1000.0,2.0,s11.real,-0.7627
1000.0,2.02,s11.real,-0.7609
1000.0,2.04,s11.real,-0.7555
1000.0,2.06,s11.real,-0.7469
1000.0,2.08,s11.real,-0.7354
1000.0,2.1,s11.real,-0.7211
1000.0,2.12,s11.real,-0.7043
1000.0,2.14,s11.real,-0.6849
